ID: 1, FM Quality: FM+
ID: 2, FM Quality: FM++
ID: 3, FM Quality: FM-
ID: 4, FM Quality: FM++
ID: 5, FM Quality: FM++
ID: 6, FM Quality: FM++
ID: 7, FM Quality: FM++
ID: 8, FM Quality: FM+
ID: 9, FM Quality: FM++
ID: 10, FM Quality: FM+
ID: 11, FM Quality: FM++
ID: 12, FM Quality: FM+
ID: 13, FM Quality: FM++
ID: 14, FM Quality: FM-
ID: 15, FM Quality: FM++
ID: 17, FM Quality: FM+
ID: 18, FM Quality: FM+
ID: 19, FM Quality: FM++
ID: 20, FM Quality: FM++
ID: 22, FM Quality: FM++
ID: 24, FM Quality: FM+
ID: 25, FM Quality: FM++
ID: 26, FM Quality: FM+
ID: 27, FM Quality: FM+
ID: 28, FM Quality: FM+
ID: 29, FM Quality: FM+
ID: 30, FM Quality: FM+
ID: 31, FM Quality: FM-
ID: 33, FM Quality: FM++
ID: 34, FM Quality: FM++
ID: 35, FM Quality: FM++
ID: 36, FM Quality: FM+
ID: 37, FM Quality: FM++
ID: 39, FM Quality: FM++
ID: 40, FM Quality: FM+
ID: 41, FM Quality: FM+
ID: 43, FM Quality: FM+
ID: 44, FM Quality: FM+
ID: 45, FM Quality: FM+
ID: 46, FM Quality: FM+
ID: 47, FM Quality: FM+
ID: 48, FM Quality: FM-
ID: 49, FM Quality: FM++
ID: 50, FM Quality: FM++
ID: 51, FM Quality: FM+
ID: 52, FM Quality: FM+
ID: 53, FM Quality: FM+
ID: 54, FM Quality: FM+
ID: 55, FM Quality: FM+
ID: 56, FM Quality: FM-
ID: 57, FM Quality: FM+
ID: 58, FM Quality: FM+
ID: 59, FM Quality: FM-
ID: 60, FM Quality: FM+
ID: 63, FM Quality: FM++
ID: 64, FM Quality: FM++
ID: 65, FM Quality: FM+
ID: 66, FM Quality: FM+
ID: 67, FM Quality: FM+
ID: 69, FM Quality: FM+
ID: 70, FM Quality: FM+
ID: 71, FM Quality: FM++
ID: 72, FM Quality: FM++
ID: 73, FM Quality: FM++
ID: 74, FM Quality: FM+
ID: 75, FM Quality: FM+
ID: 76, FM Quality: FM++
ID: 77, FM Quality: FM-
ID: 78, FM Quality: FM++
ID: 79, FM Quality: FM++
ID: 80, FM Quality: FM++
ID: 81, FM Quality: FM+
ID: 82, FM Quality: FM+
ID: 83, FM Quality: FM++
ID: 84, FM Quality: FM++
ID: 85, FM Quality: FM+
ID: 86, FM Quality: FM+
ID: 88, FM Quality: FM++
ID: 89, FM Quality: FM++
ID: 90, FM Quality: FM++
ID: 91, FM Quality: FM+
ID: 92, FM Quality: FM++
ID: 93, FM Quality: FM++
ID: 94, FM Quality: FM+
ID: 96, FM Quality: FM+
ID: 97, FM Quality: FM+
ID: 98, FM Quality: FM+
ID: 99, FM Quality: FM+
ID: 100, FM Quality: FM+
ID: 101, FM Quality: FM+
ID: 102, FM Quality: FM+
ID: 103, FM Quality: FM+
